STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(H)(C(H2)(C(H2)(C(C(H3))(C(HO(H))(C(HCl)(){1})){2}))){3}))<6>)))<3>)<2>)<1>;None;C15004;None;None;16beta-Chloro-17beta-hydroxyandrost-4-en-3-one|16beta-Chlorotestosterone
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H)(C(H)(C(O(H))(C(N(H2))(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15005;None;None;4-Aminoestra-1,3,5(10)-triene-3,17beta-diol
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(H))(C(N(H2))(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15006;None;None;2-Aminoestra-1,3,5(10)-triene-3,17beta-diol|2-Aminoestradiol
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(H))(C(N[+1](O(H)O))(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15007;None;None;2-Nitroestra-1,3,5(10)-triene-3,17beta-diol|2-Nitroestradiol
C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H)(C(C(HC(H3)C(H3)))(C(O(H))(C(H)(C(){3,7})))))<7>))C(C(H3)C(H2O(H)))(C(H2)(){1})))<3>))<1>;None;C15008;None;None;1,2,3,4,4a,9,10,10a-Octahydro-6-hydroxy-7-isopropyl-1,4a-dimethyl-1-
C(H2)(C(H2)(C(HO(C(OC(H2C(H3)))))(C(C(H3))(C(H2)(C(O)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15009;None;None;17beta-Hydroxyandrost-4-ene-3,11-dione propionate
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(H)(C(H2)(C(H2)(C(C(H3))(C(O)(C(HCl)(){1})){2}))){3}))<6>)))<3>)<2>)<1>;None;C15010;None;None;16beta-Chloroandrost-4-ene-3,17-dione
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(HO(H))(C(H)(C(H)(C(H2)(C(HC(H3))(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15011;None;None;11beta,17beta-Dihydroxy-6alpha,17-dimethylandrost-4-en-3-one
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(O)(C(C(H3))(C(H)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15012;None;None;17beta-Hydroxy-2,17-dimethyl-5alpha-androst-1-en-3-one
C(H2)(C(H2)(C(H2)(N(C(H2)(){1}C(H)(C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(HC(OC(H3)))(C(C(H3))(C(H2)(C(O)(C(H)(){8,12}))){13}))))<13>)<12>))C(H2)(){5}))<8>)))<5>))))<1>;None;C15013;None;None;3beta-(1-Pyrrolidinyl)-5alpha-pregnane-11,20-dione
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(C(H2C(HC(H2)))))(C(H)(C(H)(C(C(H)(C(H2)(C(H2)(C(C(H3))(C(O)(C(N(O(H)))(){1})){2}))){3}){6})))))<6>)))<3>)<2>)<1>;None;C15014;None;None;3-(2-Propenyloxy)estra-1,3,5(10)-triene-16,17-dione 16-oxime
C(H2)(C(H2)(C(HC(OC(H2O(H))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(HO(H))(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15015;None;None;2beta,21-Dihydroxypregn-4-ene-3,20-dione
C(H2)(C(H2)(C(C(HC(H3)))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15016;None;None;19-Norpregna-4,17(20)-dien-3-one
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(H)(C(C(HO))(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;601-16-1;C15017;None;None;17beta-Hydroxy-5alpha-androst-2-ene-2-carboxaldehyde
C(H2)(C(H2)(C(O)(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(H))(C(N[+1](O(H)O))(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15018;None;None;3-Hydroxy-2-nitroestra-1,3,5(10)-trien-17-one|2-Nitroestrone
C(H2)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){3})))))<3>O(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(O(C(H3)))(C(C(O)(){1}){4})))))<4>)))<1>;None;C15019;None;None;2,3-Dihydro-2-(4-hydroxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-
C(H2)(C(H2)(C(HC(H3))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(H))(C(H)(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15020;None;None;17beta-Methylestra-1,3,5(10)-trien-3-ol
C(H)(C(H)(C(H)(C(C(H)(C(H)(){1})C(C(C(C(H)(C(H)(C(N(C(H3)C(H3)))(C(H)(C(H)(){7})))))<7>C(C(H)(C(H)(C(N(C(H3)C(H3)))(C(H)(C(H)(){7})))))<7>)C(C(H)(C(H)(C(H)(C(H)(C(H)(){6})))))<6>)))))<1>;None;C15021;None;None;4,4'-(Diphenylethenylidene)bis[N,N-dimethylbenzenamine]
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(HO(H))(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(HC(H3))(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15022;None;None;11alpha,17beta-Dihydroxy-2alpha,17-dimethylandrost-4-en-3-one
C(H2)(C(H2)(C(O)(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(C(OC(H3))))(C(H2)(C(H2)(C(C(H2Cl))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15023;None;None;19-Chloro-3beta-hydroxyandrost-5-en-17-one acetate
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H2Cl))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15024;None;None;19-Chloro-17beta-hydroxyandrost-4-en-3-one
C(HO(H)C(H2N[+1](C(H3)C(H3)C(H3)))C(H2C(O(H)O)));541-14-0;C15025;None;None;(S)-Carnitine|D-Carnitine
C(H)(C(O)(N(C(H3))(C(C(H)(C(H)(C(H)(C(H)(C(C(C(C(H)(C(H)(C(H)(C(H)(C(H)(){11})))))<11>N(){1})){4})))))<4>))N(H)(C(O)(N(H)(C(C(H)(C(H)(C(H)(C(C(H3))(C(H)(){5})))))<5>))))<1>;118101-09-0;C15026;None;None;L-365260|N-[(3R)-2,3-Dihydro-1-methyl-2-oxo-5-phenyl-1H-1,4-benzodiazepin-3-
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){4})))))<4>C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15027;None;None;2,2-Dimethyl-3,4-bis(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate
C(H)(C(O(H)C(H2C(H3)))(C(C(H)(C(H)(C(H)(C(H)(C(H)(){3})))))<3>)C(C(H)(C(H)(C(H)(C(H)(C(H)(){2})))))<2>C(C(H)(C(H)(C(H)(C(H)(N(){2})))))<2>);None;C15028;None;None;alpha-Ethyl-alpha,beta-diphenyl-2-pyridineethanol
C(H2)(C(H2)(C(HC(OC(H3)))(C(C(H3))(C(H2)(C(H2)(C(C(C(H)(){1,4}C(H)(C(O(C(H3)))(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(){7,11})))))<11>))))<7>)))<4>)))<1>;None;C15029;None;None;3,6-Dimethoxy-19-norpregna-1,3,5,7,9-pentaen-20-one
C(H2)(C(H2)(C(HC(O(C(H3))O))(C(C(H3))(C(H2)(C(H2)(C(C(C(H)(){1,4}C(H)(C(O(C(H3)))(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(){7,11})))))<11>))))<7>)))<4>)))<1>;None;C15030;None;None;3,6-Dimethoxyestra-1,3,5(10),6,8-pentaene-17beta-carboxylic acid
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(C(H)(C(O)(C(C(C(O(H))(C(O(H))(C(O(H))(C(O(H))(){10})))O(){7}))<10>)))<7>){1})))))<1>;577-26-4;C15031;None;None;2-(4-Hydroxyphenyl)-5,6,7,8-tetrahydroxy-4H-1-benzopyran-4-one|5,6,7,8,4'-Pentahydroxyflavone|Nortangeretin
C(H2)(C(H2)(N(C(H2)(C(H2)(O(C(H2)(C(H2)(){3})))))<3>)C(O)(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>));None;C15032;None;None;1-(4-Methoxyphenyl)-3-(4-morpholinyl)-1-propanone|4'-Methoxy-3-morpholino-propiophenone
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(C(H)(N(N(H)(C(C(H)(){11}){14}))))<14>)){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;5697-57-4;C15033;None;None;Hydroxystenozole|17alpha-Methyl-2'H-androsta-2,4-dieno[3,2-c]pyrazol-17beta-ol
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(H)(C(HO(H))(C(H2)(C(C(H3))(C(HC(OC(H2O(H))))(C(HO(H))(){1})){2}))){3}))<6>)))<3>)<2>)<1>;None;C15034;None;None;16alpha-Hydroxycorticosterone|11beta,16alpha,21-Trihydroxypregn-4-ene-3,20-dione
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(O)(C(HC(H2O(H)))(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;566-52-9;C15035;None;None;17beta-Hydroxy-2alpha-(hydroxymethyl)-5alpha-androstan-3-one
C(H2)(C(H2)(C(O)(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(O)(C(HC(H3))(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15036;None;None;2alpha-Methyl-5alpha-androstane-3,17-dione
C(H2)(C(C(O)(N(C(H)(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){7})))))<7>N(H)(C(C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){10})))))<10>)C(N(){2}){4})))))<4>))<2>C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C15037;None;None;Oplophorus luciferin
C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){2})))))<2>C(C(N(H)(C(O)(C(H2)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){7})))))<7>)))N(C(H)(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){7})))))<7>N(){2})))))<2>);None;C15038;None;None;Oxidized Oplophorus luciferin
C(H)(C(C(H)(C(H)(C(H)(C(N(H2))(C(H)(){2})))))<2>C(C(N))(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>));5462-59-9;C15039;None;None;3-(m-Aminophenyl)-2-(p-methoxyphenyl)acrylonitrile
C(H2)(O(C(C(H)(C(C(H2)(C(C(H3))(N(N(C(C(C(H)(C(H)(C(N(H2))(C(H)(C(H)(){11})))))<11>C(C(H)(C(O(){1}){3})){5}))))))<5>))<3>))<1>;102771-26-6;C15040;None;None;GYKI 52466|4-(8-Methyl-9H-1,3-dioxolo[4,5-h][2,3]benzodiazepin-5-yl)benzenamine
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(HO(H))(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15041;None;None;17-Methylandrost-5-ene-3beta,11beta,17beta-triol
C(H)(C(H)(C(C(H)(N(C(H)(C(H)(N(){3})))))<3>)C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);5444-92-8;C15042;None;None;4-(2-Pyrazinylethenyl)phenol
C(H)(C(C(H)(C(H)(C(H)(C(H)(C(O(H))(){2})))))<2>C(C(H2C(H3)))(C(C(H)(C(H)(N(C(H)(C(H)(){3})))))<3>));None;C15043;None;None;2-[2-(4-Pyridinyl)-1-butenyl]phenol
C(H)(C(C(H)(C(H)(C(H)(C(O(C(H3)))(C(O(C(H3)))(){2})))))<2>C(C(H2C(H3)))(C(C(H)(C(H)(N(C(H)(C(H)(){3})))))<3>));None;C15044;None;None;2,3-Dimethoxy-[2-(4-Pyridinyl)-1-butenyl]phenol|4-[1-[(2,3-Dimethoxyphenyl)methylene]propyl]pyridine
C(H)(C(C(H)(C(H)(C(Cl)(C(H)(C(H)(){2})))))<2>C(C(H2C(H3)))(C(C(H)(C(H)(N(C(H)(C(H)(){3})))))<3>));None;C15045;None;None;4-Chloro-[2-(4-Pyridinyl)-1-butenyl]phenol|4-[1-[(4-Chlorophenyl)methylene]propyl]pyridine
C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(C(OC(H3))))(C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H3))(C(C(O(C(OC(H3)))C(H2)))(C(H)(){1})){2}))){3}){6})))))<6>)))<3>)<2>)<1>;None;C15046;None;None;Pregna-5,16,20-triene-3beta,20-diol diacetate
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(O(H)C(H3))(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(H2)(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15047;None;None;11,17-Dimethyl-5alpha-androstane-11beta,17beta-diol
C(H)(C(H)(C(C(H)(N(C(H)(){1}))C(C(H)(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(C(O)(){4})){6})))))<6>))<4>)))<1>;None;C15048;None;None;7-(Acetyloxy)-3-(3-pyridinyl)-2H-1-benzopyran-2-one
C(H)(C(H)(C(H)(C(C(C(H)(){1}C(C(C(H2C(H2C(H2C(H3)))))(O(){4})C(O)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){8})))))<8>))))<4>)))<1>;52490-15-0;C15049;None;None;(2-Butylbenzofuran-3-yl)(4-hydroxyphenyl)ketone|2-Butyl-3-(4-hydroxybenzoyl)benzofuran
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(H)(){3})))))<3>C(C(H2C(H3)))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15050;None;None;2,2-Dimethyl-3-[4-(acetyloxy)phenyl]-4-ethyl-2H-1-benzopyran-7-ol
C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(C(C(H2C(H2C(H3))))(C(C(H)(C(H)(C(O(H))(C(H)(C(O(C(O)(){7})){9})))))<9>))<7>){1})))))<1>;5219-18-1;C15051;None;None;7-Hydroxy-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-2-one|7-Hydroxy-3-(4-methoxyphenyl)-4-propylcoumarin
C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(C(C(H3))(C(C(H)(C(H)(C(O(H))(C(H)(C(O(C(O)(){7})){9})))))<9>))<7>){1})))))<1>;None;C15052;None;None;7-Hydroxy-3-(4-methoxyphenyl)-4-methylcoumarin|7-Hydroxy-3-(4-methoxyphenyl)-4-methyl-2H-1-benzopyran-2-one
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H2C(H2C(H3))))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15053;None;None;2,2-Dimethyl-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-7-ol
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H2C(H3)))(C(C(H)(C(H)(C(O(H))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15054;None;None;2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H2C(H3)))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15055;None;None;2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(F)(C(H)(C(H)(){3})))))<3>C(C(H3))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15056;None;None;2,2,4-Trimethyl-3-(4-fluorophenyl)-2H-1-benzopyran-7-ol acetate
C(H2)(C(H2)(C(HO(C(OC(H2C(H3)))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(C(H3))(C(H2)(C(H2)(C(O(C(H2C(H3))))(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15057;None;None;3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(HO(H))(C(HC(H3))(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15058;None;None;2alpha-Methyl-5alpha-androstane-3beta,17beta-diol
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H3))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15059;None;None;2,2,4-Trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate
C(C(H3)C(H3))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H3))(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15060;None;None;7-Methoxy-2,2,4-trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran
C(C(H2C(H2C(H2C(H3))))C(H2C(H2C(H2C(H3)))))(C(C(C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(){3})))))<3>C(C(H3))(C(C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(O(){1}){4})))))<4>)))<1>;None;C15061;None;None;2,2-Dibutyl-3-(4-methoxyphenyl)-4-methyl-2H-1-benzopyran-7-ol
C(H2)(C(H2)(C(O(H)C(N))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15062;None;None;17beta-Hydroxy-3-methoxyestra-1,3,5(10)-triene-17-carbonitrile
C(H2)(C(H2)(C(H)(C(C(C(H3))(C(H2)(C(H2)(C(C(C(H2)(C(H2)(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(){8,12})))))<12>))){4})<8>))C(HO(H))(){1}))<4>)))<1>;None;C15063;None;None;3-Methoxy-D-homoestra-1,3,5(10),8,14-pentaen-17abeta-ol
C(H2)(C(H2)(C(HC(H2O(C(OC(H3)))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15064;None;None;17beta-(Hydroxymethyl)androst-4-en-3-one acetate
C(H2)(C(H2)(C(HC(OC(H3)))(C(C(H3))(C(H2)(C(HO(H))(C(F)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(O)(C(H)(){11}))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15065;None;None;9-Fluoro-11beta-hydroxy-A-norpregn-3(5)-ene-2,20-dione
C(H)(C(H)(C(O(C(H2C(C(H)))))(C(H)(C(H)(C(C(C(H2C(H3)))(C(C(H2C(H3)))(C(C(H)(C(H)(C(O(C(H2C(C(H)))))(C(H)(C(H)(){9})))))<9>))){1})))))<1>;None;C15066;None;None;alpha,alpha'-Diethyl-4,4'-bis(2-propynyloxy)stilbene
C(H2)(C(O(H))(C(C(H)(C(H)(C(H)(C(H)(C(H)(){3})))))<3>C(C(H)(C(H)(C(O(C(H2C(H2N(C(H2C(H3))C(H2C(H3)))))))(C(H)(C(H)(){3})))))<3>)C(C(H)(C(H)(C(Cl)(C(H)(C(H)(){2})))))<2>);None;C15067;None;None;4-Chloro-alpha-[4-[2-(diethylamino)ethoxy]phenyl]-alpha-
C(H2)(C(H2)(C(HO(C(OC(H3))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(C(H3))(C(H)(C(H)(C(O)(O(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15068;None;None;17beta-Hydroxy-4-oxa-5alpha-androst-1-en-3-one acetate
C(HC(H2C(H2C(H3))))(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C15069;None;None;4,4'-(Butane-1,1-diyl)diphenol|1,1-Bis(4-hydroxyphenyl)butane
C(H2)(C(H2)(C(O(H)C(H3))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H2)(C(O)(C(H2)(C(HC(H3))(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15070;None;None;17beta-Hydroxy-1,17-dimethylestr-5(10)-en-3-one
C(H2)(C(H2)(C(HC(OC(H3)))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(HF)(C(O(H))(C(H2)(C(O)(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15071;None;None;6beta-Fluoro-5alpha-hydroxypregnane-3,20-dione
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(C(H2)(O(){10})C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>)<10>)C(H)(){1,4}))<7>)))<4>)))<1>;None;C15072;None;None;6beta,19-Epoxy-17beta-hydroxyandrost-4-en-3-one
C(H2)(C(H2)(C(O(H)C(C(Cl)))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(H))(C(H)(C(H)(C(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C15073;None;None;17alpha-Chloroethynylestradiol|21-Chloro-19-nor-17alpha-pregna-1,3,5(10)-trien-20-yne-3,17-diol
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(H)(C(H2)(C(H2)(C(C(H3))(C(HO(H))(C(HF)(){1})){2}))){3}))<6>)))<3>)<2>)<1>;None;C15074;None;None;16alpha-Fluoro-17alpha-hydroxyandrost-4-en-3-one
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(OC(H2C(H2F))))(){1})))))<1>;None;C15075;None;None;3-Fluoro-1-(4-hydroxyphenyl)-1-propanone
C(H)(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(C(H)(O(C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(O(C(H3)))(C(C(O)(){7}){10})))))<10>)))<7>){1})))))<1>;4332-73-4;C15076;None;None;3-(4-Methoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one|5,6,7,4'-Tetramethoxyisoflavone
C(H)(C(H)(S(OO)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){4})))))<4>))C(O)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){3})))))<3>));None;C15077;None;None;1-Phenyl-3-(phenylsulfonyl)-2-propen-1-one|3-(Phenylsulfonyl)acrylophenone
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(H)(C(H2)(C(H2)(C(C(H3))(C(O)(C(N(O(H)))(){1})){2}))){3}){6})))))<6>)))<3>)<2>)<1>;40822-17-1;C15078;None;None;3-Methoxyestra-1,3,5(10)-triene-16,17-dione 16-oxime|3-Methoxyestra-1,3,5(10)-trien-16-oximino-17-one
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(F)(C(HO(H))(C(H2)(C(C(H3))(C(C(OC(H3)))(C(H)(){1})){2}))){3}))<6>)))<3>)<2>)<1>;None;C15079;None;None;9-Fluoro-11beta-hydroxypregna-4,16-diene-3,20-dione
C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){2})))))<2>O(C(C(H)(C(H)(C(C(H)(C(H)(C(O)(C(C(O(C(H3)))(C(O(C(H3)))(C(O(C(H3)))(C(O(C(H3)))(C(O(H))(){10})))))<10>)))C(H)(C(H)(){3})))))<3>));None;C15080;None;None;4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone
C(H2)(C(H2)(C(HC(O(C(H2C(H3)))O))(C(H2)(N(C(H2)(C(H2)(C(C(H)(C(O(C(H3)))(C(H)(C(H)(C(C(H)(){1,5}){8})))))<8>)))<5>))))<1>;None;C15081;None;None;trans-1,3,4,6,7,11b-Hexahydro-9-methoxy-2H-benzo[a]quinolizine-3-
